                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.53652,                0.34566,                0.92673,                 0.9475,                0.96407,                0.97714,                0.79041,                0.78262,                0.38798,                 1.1262,             0.00020792,             0.00020792,             0.00020792
                     71,                0.53938,                0.34136,                0.92994,                0.94858,                0.95989,                0.97971,                 0.7915,                0.77773,                0.39559,                 1.1299,             0.00020731,             0.00020731,             0.00020731
                     72,                 0.5415,                0.33743,                0.92393,                0.94791,                0.96301,                0.97958,                0.80186,                0.76724,                0.38689,                 1.1262,             0.00020669,             0.00020669,             0.00020669
                     73,                0.51899,                  0.329,                0.92323,                0.95416,                0.95678,                0.98041,                0.79751,                0.76393,                0.37838,                  1.124,             0.00020607,             0.00020607,             0.00020607
                     74,                0.52678,                0.33958,                0.92532,                0.95634,                0.95417,                0.97792,                0.79615,                0.76508,                0.38846,                 1.1249,             0.00020545,             0.00020545,             0.00020545
                     75,                0.53456,                0.34002,                 0.9237,                0.93734,                0.95981,                0.97545,                0.79845,                0.76205,                 0.4073,                   1.11,             0.00020483,             0.00020483,             0.00020483
                     76,                0.52415,                0.33249,                0.91215,                0.93833,                0.96593,                0.98022,                0.79675,                0.75387,                 0.4017,                 1.1014,             0.00020421,             0.00020421,             0.00020421
                     77,                0.51406,                0.33197,                0.91509,                0.94793,                0.96538,                0.97884,                0.79349,                0.77524,                0.39338,                  1.126,             0.00020359,             0.00020359,             0.00020359
                     78,                0.50671,                0.32459,                0.91348,                0.95266,                0.95487,                0.97973,                0.79499,                0.77083,                0.39594,                 1.1213,             0.00020298,             0.00020298,             0.00020298
                     79,                 0.5115,                0.32338,                0.91639,                0.94871,                0.95314,                0.97596,                0.79225,                0.76722,                0.40355,                 1.1194,             0.00020236,             0.00020236,             0.00020236
                     80,                0.50966,                0.32351,                0.91666,                0.93398,                0.96613,                0.97947,                0.79528,                0.77171,                0.39413,                 1.1145,             0.00020174,             0.00020174,             0.00020174
                     81,                0.51004,                0.32452,                0.91029,                0.95178,                  0.958,                0.98329,                 0.7966,                 0.7839,                0.38387,                 1.1243,             0.00020112,             0.00020112,             0.00020112
                     82,                  0.504,                0.32339,                0.91736,                0.95182,                0.95974,                0.97668,                0.79725,                0.77026,                0.38638,                 1.1215,              0.0002005,              0.0002005,              0.0002005
                     83,                0.49883,                0.31933,                0.90693,                0.93685,                0.96565,                0.97476,                0.79343,                0.75829,                0.39707,                 1.1093,             0.00019988,             0.00019988,             0.00019988
                     84,                0.50759,                0.32062,                0.91181,                0.94714,                0.94807,                0.97646,                0.79595,                0.76528,                0.40953,                 1.1222,             0.00019926,             0.00019926,             0.00019926
                     85,                0.49266,                0.32081,                0.91402,                 0.9346,                 0.9623,                0.97746,                0.79221,                0.77711,                0.39909,                 1.1411,             0.00019864,             0.00019864,             0.00019864
