                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.1048,                0.61284,                0.93818,                0.99827,                      1,                  0.995,                0.68288,                 1.1592,                0.54954,                0.84316,              0.0016568,              0.0016568,              0.0016568
                     55,                 1.1073,                0.60759,                0.94378,                      1,                0.99938,                  0.995,                0.70366,                 1.1893,                0.55551,                0.84777,              0.0016502,              0.0016502,              0.0016502
                     56,                 1.0944,                0.61422,                0.94249,                0.99323,                      1,                  0.995,                0.69631,                 1.1096,                0.57987,                0.84661,              0.0016436,              0.0016436,              0.0016436
                     57,                 1.1104,                0.61511,                0.96151,                      1,                0.99602,                  0.995,                0.73534,                 1.0908,                0.54445,                0.84354,               0.001637,               0.001637,               0.001637
                     58,                 1.1645,                 0.6172,                0.99315,                0.85894,                      1,                 0.9775,                0.64134,                 1.2699,                0.54884,                0.85092,              0.0016304,              0.0016304,              0.0016304
                     59,                 1.1375,                0.61581,                0.98448,                      1,                 0.9939,                  0.995,                0.70816,                 1.0742,                 0.5267,                0.85268,              0.0016238,              0.0016238,              0.0016238
                     60,                 1.1261,                0.59863,                0.96318,                      1,                0.84691,                0.94409,                0.65648,                 1.2759,                0.67861,                0.85969,              0.0016172,              0.0016172,              0.0016172
                     61,                 1.1159,                0.60618,                0.94207,                      1,                0.99544,                  0.995,                0.72812,                 1.1296,                0.56406,                0.83695,              0.0016106,              0.0016106,              0.0016106
                     62,                   1.11,                0.60919,                0.96562,                      1,                0.99506,                  0.995,                0.69117,                 1.0858,                0.55043,                0.83386,               0.001604,               0.001604,               0.001604
                     63,                 1.0378,                0.57745,                 0.9324,                      1,                      1,                  0.995,                  0.713,                 1.1182,                0.58475,                0.83695,              0.0015974,              0.0015974,              0.0015974
                     64,                  1.055,                0.58006,                0.95608,                      1,                 0.9904,                  0.995,                0.73888,                 0.9863,                 0.5541,                0.83736,              0.0015908,              0.0015908,              0.0015908
                     65,                 1.1389,                0.63635,                0.96995,                0.98741,                      1,                  0.995,                 0.6866,                 1.1369,                0.55363,                0.84317,              0.0015842,              0.0015842,              0.0015842
                     66,                 1.0572,                0.61113,                0.93684,                0.99155,                      1,                  0.995,                0.73319,                 1.0698,                0.50781,                0.83353,              0.0015776,              0.0015776,              0.0015776
                     67,                 1.1011,                0.58087,                0.94023,                 0.9999,                0.85714,                0.96389,                0.71846,                 1.0872,                 0.6263,                 0.8476,               0.001571,               0.001571,               0.001571
                     68,                 1.1095,                0.59124,                0.95502,                0.98722,                0.85714,                  0.953,                0.72086,                 1.0848,                0.61479,                0.83756,              0.0015644,              0.0015644,              0.0015644
                     69,                 1.0734,                0.58639,                0.91369,                      1,                 0.9955,                  0.995,                0.77772,                 1.1846,                0.59388,                 0.8478,              0.0015578,              0.0015578,              0.0015578
                     70,                 1.0875,                0.59929,                0.94983,                0.99297,                      1,                  0.995,                0.75134,                 1.1842,                0.56138,                0.84731,              0.0015512,              0.0015512,              0.0015512
                     71,                 1.0324,                0.57331,                 0.9353,                0.98662,                0.85714,                 0.9775,                0.64926,                  1.129,                0.60831,                0.84261,              0.0015446,              0.0015446,              0.0015446
                     72,                 1.0845,                0.61423,                0.93967,                      1,                0.99544,                  0.995,                0.71285,                 1.0244,                 0.5651,                0.83487,               0.001538,               0.001538,               0.001538
                     73,                 1.0415,                0.56209,                0.92938,                      1,                0.99141,                  0.995,                0.73933,                 1.1107,                0.55273,                0.83511,              0.0015314,              0.0015314,              0.0015314
                     74,                  1.062,                0.58838,                0.94405,                      1,                0.99617,                  0.995,                    0.7,                 1.1529,                0.52472,                0.83545,              0.0015248,              0.0015248,              0.0015248
